en,Simon_Bloomberg,1,10970,file:///home/rsg23/sfuhome/cmpt353/e10/pagecounts-1/pagecounts-20160802-230000.gz
en,Simon_Boccanegra,2,66544,file:///home/rsg23/sfuhome/cmpt353/e10/pagecounts-1/pagecounts-20160802-230000.gz
en,Simon_Boerum,1,9729,file:///home/rsg23/sfuhome/cmpt353/e10/pagecounts-1/pagecounts-20160802-230000.gz
en,Simon_Bol%C3%ADvar_Symphony_Orchestra,1,13079,file:///home/rsg23/sfuhome/cmpt353/e10/pagecounts-1/pagecounts-20160802-230000.gz
en,Simon_Boliv%C3%A1r,1,61956,file:///home/rsg23/sfuhome/cmpt353/e10/pagecounts-1/pagecounts-20160802-230000.gz
en,Simon_Bolivar_Buckner,6,246859,file:///home/rsg23/sfuhome/cmpt353/e10/pagecounts-1/pagecounts-20160802-230000.gz
en,"Simon_Bolivar_Buckner,_Jr.",4,72717,file:///home/rsg23/sfuhome/cmpt353/e10/pagecounts-1/pagecounts-20160802-230000.gz
en,"Simon_Bolivar_Buckner,_Sr.",3,123730,file:///home/rsg23/sfuhome/cmpt353/e10/pagecounts-1/pagecounts-20160802-230000.gz
en,Simon_Bolivar_Buckner_Jr.,7,126619,file:///home/rsg23/sfuhome/cmpt353/e10/pagecounts-1/pagecounts-20160802-230000.gz
en,Simon_Bonney,1,13898,file:///home/rsg23/sfuhome/cmpt353/e10/pagecounts-1/pagecounts-20160802-230000.gz
en,Simon_Boswell,1,15481,file:///home/rsg23/sfuhome/cmpt353/e10/pagecounts-1/pagecounts-20160802-230000.gz
en,Simon_Bowde,1,7536,file:///home/rsg23/sfuhome/cmpt353/e10/pagecounts-1/pagecounts-20160802-230000.gz
en,Simon_Bowes-Lyon,1,8603,file:///home/rsg23/sfuhome/cmpt353/e10/pagecounts-1/pagecounts-20160802-230000.gz
en,"Simon_Bowes-Lyon,_19th_Earl_of_Strathmore_and_Kinghorne",1,13816,file:///home/rsg23/sfuhome/cmpt353/e10/pagecounts-1/pagecounts-20160802-230000.gz
en,Simon_Bradstreet,2,63326,file:///home/rsg23/sfuhome/cmpt353/e10/pagecounts-1/pagecounts-20160802-230000.gz
